name,description,max-level,user_input,llm_prompt
story_retell_builder,"This skill builder takes a story as input and generates pictures representing the beginning, middle, and end. The child is then asked to retell the story using these pictures as prompts.",5,,
book_builder,"This skill builder takes a story as input and generates a set of key scene pictures from the story. The child is asked to place the pictures in the correct order. Under each scene, the child writes a short description, and the results are compiled into a small book. After creating the book, the child learns to add a title, author name, and owner name on the cover.",5,,
story_comprehension_builder,"This skill builder takes a story as input and generates a set of multiple-choice and open-ended questions based on the content. The questions must cover key elements of the story, including the characters, location, setting, and other important details.",5,,
inverted_question_builder,"This skill builder takes a story as input and selects sentence snippets from the text. It then presents multiple-choice questions, asking the child to choose which question each snippet is answering.",5,,
pronounce_builder,This skill builder takes a story as input and selects sentence snippets from the text that contain pronouns. It then asks the child to identify which character or noun each pronoun refers to.,5,,
part_of_speech_builder,"This skill builder takes a story as input and selects sentence snippets from the text. It then asks the child to identify elements of the sentence, such as the subject, the action (verb), and other key parts.",5,,
prediction_builder,This skill builder takes a story as input and creates similar stories that pause midway. The child is then asked to predict what will happen next.,7,,
in_senario_question_builder,"This skill builder takes a story as input and creates similar stories that stop midway. The child is then asked to think about the situation and decide what question they should ask, such as asking who is involved.",7,,
verb_tense_builder,"This skill builder takes a story and transforms it into past, present, and future versions, then asks the children to adjust the verbs and actions to match the correct tense.",7,,
maths_sense_builder,This skill builder creates math word problems based on scenarios in this story and asks the child to solve them.,7,,
vocabulary_builder,"This skill builder identifies critical vocabulary words from a story and guides the child in practicing reading, writing, tense, plural forms, and other key aspects, focusing on each word individually.",7,,
logic_builder,"This skill builder creates logically connected sentences from the story using words like but, because, so, and others, helping the child learn how to express reasoning and cause-and-effect relationships.",7,,
